count,date,dose_one,dose_two,time_slot
415972.0,2021-04-23,253881.0,253881.0,12:00-13:00
29861.0,2021-04-23,21071.0,21071.0,20:00-21:00
20175.0,2021-04-23,14098.0,14098.0,22:00-23:00
378.0,2021-04-23,238.0,238.0,07:00-08:00
5434.0,2021-04-23,2459.0,2459.0,08:00-09:00
61656.0,2021-04-23,28938.0,28938.0,09:00-10:00
352652.0,2021-04-23,201135.0,201135.0,11:00-12:00
208424.0,2021-04-23,108469.0,108469.0,10:00-11:00
334496.0,2021-04-23,210592.0,210592.0,13:00-14:00
294417.0,2021-04-23,187705.0,187705.0,14:00-15:00
313193.0,2021-04-23,202848.0,202848.0,15:00-16:00
267530.0,2021-04-23,177027.0,177027.0,16:00-17:00
135225.0,2021-04-23,89663.0,89663.0,17:00-18:00
62991.0,2021-04-23,42063.0,42063.0,18:00-19:00
24405.0,2021-04-23,16367.0,16367.0,21:00-22:00
20567.0,2021-04-22,14405.0,14405.0,22:00-23:00
286694.0,2021-04-22,173836.0,173836.0,16:00-17:00
26642.0,2021-04-22,17769.0,17769.0,21:00-22:00
32445.0,2021-04-22,21546.0,21546.0,20:00-21:00
43886.0,2021-04-22,27317.0,27317.0,19:00-20:00
69313.0,2021-04-22,41253.0,41253.0,18:00-19:00
145711.0,2021-04-22,86914.0,86914.0,17:00-18:00
7724.0,2021-04-22,2695.0,2695.0,08:00-09:00
336115.0,2021-04-22,203695.0,203695.0,15:00-16:00
309652.0,2021-04-22,188736.0,188736.0,14:00-15:00
380698.0,2021-04-22,230272.0,230272.0,13:00-14:00
443737.0,2021-04-22,254881.0,254881.0,12:00-13:00
390566.0,2021-04-22,212843.0,212843.0,11:00-12:00
714.0,2021-04-22,250.0,250.0,07:00-08:00
73129.0,2021-04-22,31796.0,31796.0,09:00-10:00
233742.0,2021-04-22,116804.0,116804.0,10:00-11:00
14261.0,2021-04-21,10839.0,10839.0,22:00-23:00
17908.0,2021-04-21,12351.0,12351.0,21:00-22:00
469.0,2021-04-21,310.0,310.0,07:00-08:00
20185.0,2021-04-21,14448.0,14448.0,20:00-21:00
25595.0,2021-04-21,17721.0,17721.0,19:00-20:00
41695.0,2021-04-21,28458.0,28458.0,18:00-19:00
84980.0,2021-04-21,58250.0,58250.0,17:00-18:00
174697.0,2021-04-21,118303.0,118303.0,16:00-17:00
232808.0,2021-04-21,157191.0,157191.0,15:00-16:00
246299.0,2021-04-21,166695.0,166695.0,14:00-15:00
285120.0,2021-04-21,194209.0,194209.0,13:00-14:00
274866.0,2021-04-21,170393.0,170393.0,11:00-12:00
162971.0,2021-04-21,93907.0,93907.0,10:00-11:00
50288.0,2021-04-21,25658.0,25658.0,09:00-10:00
4784.0,2021-04-21,2446.0,2446.0,08:00-09:00
316174.0,2021-04-21,205836.0,205836.0,12:00-13:00
64650.0,2021-04-20,32704.0,32704.0,09:00-10:00
